test_query,most_similar_beir_queries,similarity_scores,max_similarity,mean_similarity
CT Scan Radiation poses a risk of cancer.,"['Cancer Risk From CT Scan Radiation', 'How Risky are CT Scans?', 'CT scan']",[0.9163849  0.74594647 0.6231984 ],0.9163849,0.07567691
Please provide the information about Panama.,"['Panama', 'Uruguay', 'Indonesia']",[0.75852334 0.39522696 0.39023465],0.75852334,0.040902223
Bronchiolitis obliterans has not been altered in terms of meaning.,"['bronchiolitis obliterans', 'respiratory infections', 'lung disease']",[0.8382327  0.46168962 0.46086943],0.8382327,0.058405854
Plants contain human neurotransmitters.,"['Human Neurotransmitters in Plants', 'Preventing Alzheimer’s Disease With Plants', 'Our Immune System Uses Plants To Activate Gut Protection']",[0.89347434 0.55040735 0.5479681 ],0.89347434,0.1348829
Plants that are poisonous.,"['poisonous plants', 'natural toxins', 'neurotoxins']",[0.9210992  0.5861577  0.56435883],0.9210992,0.17246562
We are trying to determine the degree of chemical contamination we are experiencing.,"['\ufeffCDC Report on Environmental Chemical Exposure', 'How Chemically Contaminated Are We?', 'industrial toxins']",[0.680086   0.6734557  0.58923495],0.680086,0.102091946
Chlorophyll is a green pigment present in plants and algae that helps in photosynthesis.,"['chlorophyll', 'chlorella', 'chlorination']",[0.7743822  0.4974364  0.48894584],0.7743822,0.0633787
What is the answer to the Pritikin Puzzle?,"['The Answer to the Pritikin Puzzle', 'Pritikin', 'petunidin']",[0.8943888  0.65097594 0.3689406 ],0.8943888,0.09547637
The Bush administration was in power.,"['Bush administration', 'Obama', 'U.S. Department of Defense']",[0.668218   0.37975302 0.31805077],0.668218,0.028343566
Goji berries are a type of fruit.,"['goji berries', 'Are Goji Berries Good for You?', 'Better Than Goji Berries']",[0.8713927 0.789501  0.7791172],0.8713927,0.13579436
Alternative medicine refers to any form of medical treatment that is not widely accepted or practiced by mainstream doctors and healthcare professionals.,"['alternative medicine', 'complementary medicine', 'homeopathy']",[0.7295934  0.57985497 0.523317  ],0.7295934,0.07193548
Someone is suffering from amnesia.,"['amnesia', 'dementia', 'Alzheimer’s disease']",[0.61358595 0.45999098 0.42249525],0.61358595,0.07933699
Krill oil supplements and fish oil capsules are being compared to determine which is superior.,"['Are krill oil supplements better than fish oil capsules?', 'The Reversal on Fish Oil', 'fish oil']",[0.8872001 0.5786271 0.5593872],0.8872001,0.15520708
The topic being investigated is the neurobiology of artificial sweeteners.,"['Neurobiology of Artificial Sweeteners', 'artificial sweeteners', 'A Harmless Artificial Sweetener']",[0.97489405 0.7211751  0.692902  ],0.97489405,0.14993973
Mastitis is a condition.,"['mastitis', 'mastalgia', 'breast disease']",[0.8443262  0.66506547 0.62314117],0.8443262,0.13025306
Wasnt there another study that demonstrated the positive effects of carnitine on the heart?,"[""Didn't another study show carnitine was good for the heart?"", 'Carnitine, Choline, Cancer and Cholesterol: The TMAO Connection', 'What about the INTERHEART study on heart attack risk factors?']",[0.9631109  0.59268785 0.5740336 ],0.9631109,0.14833455
What is the commonality between Meat Purge and Cola?,"['What Do Meat Purge and Cola Have in Common?', 'Phosphate Additives in Meat Purge and Cola', 'processed meats']",[0.93842745 0.661868   0.54240924],0.93842745,0.1882912
Carcinogens found in cooked meat are being avoided.,"['Avoiding Cooked Meat Carcinogens', 'Estrogenic Cooked Meat Carcinogens', 'Reducing Cancer Risk In Meateaters']",[0.8760176 0.7863497 0.7714497],0.8760176,0.18402337
Which vegetables are the healthiest?,"['The Healthiest Vegetables', 'The Healthiest Fruits', 'What is the healthiest potato?']",[0.9317174  0.7041357  0.65466684],0.9317174,0.1786502
What is norovirus?,"['norovirus', 'Norovirus Food Poisoning from Pesticides', 'viral infections']",[0.8879805  0.5758798  0.54611623],0.8879805,0.11205036
Medicine that is grounded in evidence.,"['Evidence-based medicine', 'Evidence-Based Medicine or Evidence-Biased?', 'alternative medicine']",[0.798466   0.68037367 0.6311026 ],0.798466,0.1669662
Endocrine disruptors are substances that affect the normal functioning of the endocrine system.,"['endocrine disruptors', 'xenoestrogens', 'Alkylphenol Endocrine Disruptors and Allergies']",[0.84270954 0.48180735 0.47834885],0.84270954,0.08411741
Okra is a vegetable.,"['okra', 'vegetables', 'legumes']",[0.73857415 0.5410428  0.4679748 ],0.73857415,0.1256141
Kohlrabi is a type of vegetable.,"['kohlrabi', 'kale', 'cruciferous vegetables']",[0.70734024 0.5042911  0.4782452 ],0.70734024,0.13651738
Which sweetener is the healthiest?,"['The Healthiest Sweetener', ""What's the best low calorie sweetener?"", 'sweeteners']",[0.9246563  0.82374847 0.74530065],0.9246563,0.16797562
Workers who work with poultry.,"['poultry workers', 'poultry', 'farm animals']",[0.94084615 0.6823735  0.58663535],0.94084615,0.10458115
veggie chicken.,"['veggie chicken', 'Chicken vs. Veggie Chicken', 'veggie burgers']",[0.9683771  0.73103416 0.7125947 ],0.9683771,0.19951978
One way to prevent abdominal aortic aneurysms is by providing assistance.,"['How to Help Prevent Abdominal Aortic Aneurysms', 'abdominal aortic aneurysm', 'aortic aneurysm']",[0.8290658  0.65250045 0.5568049 ],0.8290658,0.09442101
Statin drugs that lower cholesterol levels can be attributed to the occurrence of breast cancer.,"['Statin Cholesterol Drugs and Invasive Breast Cancer', 'Do Cholesterol Statin Drugs Cause Breast Cancer?', 'Cholesterol Feeds Breast Cancer Cells']",[0.93322766 0.92869264 0.71822137],0.93322766,0.10725197
Can kiwifruit be used to treat Irritable Bowel Syndrome?,"['Kiwifruit for Irritable Bowel Syndrome', 'Kiwi Fruit for Irritable Bowel Syndrome', 'Peppermint Oil for Irritable Bowel Syndrome']",[0.94433945 0.9111401  0.6173065 ],0.94433945,0.15963587
A diet that can help prevent cataracts.,"['Preventing Cataracts with Diet', 'Preventing Macular Degeneration with Diet', 'Preserving Vision Through Diet']",[0.93749166 0.7911056  0.7660831 ],0.93749166,0.17876528
Nuts are included in the following query.,"['macadamia nuts', 'Nuts and Obesity: The Weight of Evidence', 'walnuts']",[0.67721033 0.6563498  0.6102826 ],0.67721033,0.14797556
Chocolate milkshakes that are good for your health.,"['Healthy Chocolate Milkshakes', 'milk chocolate', 'Healthiest Chocolate Fix']",[0.92838085 0.6610147  0.65114856],0.92838085,0.15994039
Can eating Fruit & Nut Bars lead to weight gain?,"['Do Fruit & Nut Bars Cause Weight Gain?', 'Does Chocolate Cause Weight Gain?', ""Nuts Don't Cause Expected Weight Gain""]",[0.9764229  0.67394876 0.6511966 ],0.9764229,0.117461056
Reducing exposure to alkylphenols through your diet can be achieved by adapting certain strategies.,"['How to Reduce Exposure to Alkylphenols Through Your Diet', 'Dietary Sources of Alkylphenol Endocrine Disruptors', 'Alkylphenol Endocrine Disruptors and Allergies']",[0.9076638  0.72602046 0.6343019 ],0.9076638,0.13503167
Mastitis is a query.,"['mastitis', 'mastalgia', 'mastectomy']",[0.897146   0.7204993  0.62884414],0.897146,0.16153236
Fructose is a type of sugar.,"['fructose', 'If Fructose is Bad, What About Fruit?', 'sugar']",[0.81393725 0.6811309  0.62949514],0.81393725,0.12187021
Distilled fish oil is free of toxins.,"['Is Distilled Fish Oil Toxin-Free?', 'DDT in Fish Oil Supplements', 'Is Fish Oil Just Snake Oil?']",[0.8818202  0.66054684 0.6397048 ],0.8818202,0.17363779
The importance of cholesterol size: does it matter?,"['Does Cholesterol Size Matter?', 'Nuts and Bolts of Cholesterol Lowering', 'HDL cholesterol']",[0.895869   0.76507336 0.73049426],0.895869,0.1252998
The National Academy of Sciences is being referred to.,"['National Academy of Sciences', 'Union of Concerned Scientists', 'Center for Science in the Public Interest']",[0.85395604 0.60133076 0.59601974],0.85395604,0.07785715
"Rickets is a medical condition caused by a deficiency in vitamin D, calcium, or phosphate, resulting in weakened or deformed bones.","['rickets', 'osteoporosis', 'Resolving the Vitamin D-Bate']",[0.7223248  0.46217865 0.45604986],0.7223248,0.10423227
Meat is associated with multiple myeloma.,"['Meat & Multiple Myeloma', ""Vegetarian's Myelopathy"", 'How Tumors Use Meat to Grow: Xeno-Autoantibodies']",[0.9542792 0.7154872 0.6506778],0.9542792,0.17669755
Avocados are beneficial for your health.,"['Are Avocados Good for You?', 'Are Avocados Good for You?', 'Are Avocados Bad for You?']",[0.8699304 0.8699304 0.8159636],0.8699304,0.16205682
Restricting calorie intake.,"['The Benefits of Caloric Restriction Without the Actual Restricting', 'overeating', 'caloric restriction']",[0.6534704  0.58521134 0.57429224],0.6534704,0.16913275
Organotins are a type of chemical compound containing tin.,"['organotins', 'organochlorines', 'tetrodotoxin']",[0.7292105  0.5208282  0.43680045],0.7292105,0.089681216
The EPIC Study is being referenced.,"['EPIC Study', 'EPIC Study', 'Largest Study Ever']",[0.81573224 0.81573224 0.5147345 ],0.81573224,0.11274223
The city named Peoria.,"['Peoria', 'New York City', 'Chick-fil-A']",[0.8030104  0.4830882  0.38228363],0.8030104,0.066107035
Beans are being referred to.,"['beans', 'pinto beans', 'black beans']",[0.8386693  0.72935873 0.7233735 ],0.8386693,0.13001467
It is possible to increase the population of beneficial bacteria in the colon without using probiotics.,"['Boosting Good Bacteria in the Colon Without Probiotics', 'Boosting Gut Flora Without Probiotics', 'probiotics']",[0.88237774 0.82497036 0.60222113],0.88237774,0.09175366
Are vegetarians getting sufficient protein intake?,"['Do Vegetarians Get Enough Protein?', 'Vegan Protein Status', 'vegetable protein']",[0.95468044 0.70364994 0.62401307],0.95468044,0.11725693
The findings on lymphoma by EPIC were significant.,"['EPIC Findings on Lymphoma', 'lymphoma', 'Pets & Human Lymphoma']",[0.84252036 0.6230339  0.5118381 ],0.84252036,0.07914515
What is tempeh and how is it made?,"['tempeh', 'Tofu vs. Tempeh', 'tahini']",[0.7628617 0.5435461 0.4772098],0.7628617,0.12192305
Prolactin is a hormone.,"['prolactin', 'endocrine disruptors', 'leptin']",[0.805775  0.4956882 0.4886946],0.805775,0.12795289
How can the presence of good bacteria in the colon be increased without using probiotics?,"['Boosting Good Bacteria in the Colon Without Probiotics', 'Boosting Gut Flora Without Probiotics', 'What is a good source of probiotics?']",[0.9183303 0.8328593 0.6944331],0.9183303,0.13522352
How does olive oil affect artery function?,"['Olive Oil and Artery Function', 'Does Coconut Oil Clog Arteries?', 'Do Walnuts Really Improve Artery Function?']",[0.8931178  0.73778737 0.63017285],0.8931178,0.17333467
Aneurysm is a medical condition.,"['aneurysm', 'aortic aneurysm', 'abdominal aortic aneurysm']",[0.78886235 0.6953605  0.5878558 ],0.78886235,0.09362641
Viral infections are being searched for.,"['viral infections', 'cancer viruses', 'norovirus']",[0.80508757 0.59378326 0.58350825],0.80508757,0.111683026
The NIH-AARP study is a research project conducted by the National Institutes of Health in collaboration with the American Association of Retired Persons.,"['NIH-AARP study', 'American Public Health Association', 'What about the INTERHEART study on heart attack risk factors?']",[0.87983435 0.57466704 0.5122843 ],0.87983435,0.1201908
Fenugreek seeds have advantages or positive effects.,"['Benefits of Fenugreek Seeds', 'Side-Effect of Fenugreek Consumption', 'What about gurmar, jamun, bitter melon, and fenugreek?']",[0.8902607  0.6240224  0.60350335],0.8902607,0.16606835
Caramel color does not possess carcinogenic properties.,"['Is Caramel Color Carcinogenic?', 'Does Caramel Color Cause Cancer?', 'caramel color']",[0.91301465 0.846805   0.5958747 ],0.91301465,0.12387057
The condition of the uterus is in good health.,"['uterine health', 'endometrial health', 'reproductive health']",[0.74473083 0.6126643  0.58800936],0.74473083,0.10237503
The BRCA genes refer to the genes known as BRCA1 and BRCA2.,"['BRCA genes', 'BRCA Breast Cancer Genes and Soy', 'tumor suppressor genes']",[0.8757975  0.6001929  0.44131976],0.8757975,0.04396005
How does diet impact breast cancer?,"['Breast Cancer and Diet', 'Which Dietary Factors Affect Breast Cancer Most?', 'Cancer Reversal Through Diet?']",[0.9058671  0.8733474  0.74534607],0.9058671,0.175815
Should I eat a snack or not?,"['To Snack or Not to Snack?', 'Are Raisins Good Snacks for Kids?', 'second meal effect']",[0.86627614 0.44688028 0.42572874],0.86627614,0.072880745
Is fresh fruit better than frozen fruit?,"['Fresh fruit versus frozen--which is better?', 'frozen fruit', 'The Fruit Whose Juice Is Healthier']",[0.89135444 0.72755635 0.54864764],0.89135444,0.11435239
The item is filled completely with lead.,"['Filled Full of Lead', 'lead', 'Lead Poisoning Risk From Venison']",[0.7357669  0.59155554 0.49327663],0.7357669,0.07369219
One way to decrease the amount of alkylphenols you consume is by modifying your diet.,"['How to Reduce Exposure to Alkylphenols Through Your Diet', 'Dietary Sources of Alkylphenol Endocrine Disruptors', 'Alkylphenol Endocrine Disruptors and Allergies']",[0.8123736  0.6162416  0.50804234],0.8123736,0.077956855
What is maple syrup?,"['maple syrup', 'corn syrup', 'brown rice syrup']",[0.7943959  0.64424956 0.55689263],0.7943959,0.12161805
Ergothioneine is a compound.,"['ergothioneine', 'Ergothioneine: A New Vitamin?', 'Ergothioneine: A New Vitamin?']",[0.7932637  0.75782865 0.75782853],0.7932637,0.118245944
The effects of diet on cellulite.,"['Diet and Cellulite', 'Can Cellulite Be Treated With Diet?', 'cellulite']",[0.94462264 0.81508523 0.6732086 ],0.94462264,0.15112284
BPH is a condition related to the prostate gland.,"['BPH', 'prostate health', 'prostate cancer']",[0.71152014 0.5887331  0.5607115 ],0.71152014,0.08752001
Ways to reduce the risk of Abdominal Aortic Aneurysms.,"['How to Help Prevent Abdominal Aortic Aneurysms', 'abdominal aortic aneurysm', 'aortic aneurysm']",[0.9368459 0.670028  0.5651355],0.9368459,0.09631014
What are turnips?,"['turnips', 'radishes', 'sprouts']",[0.8604393  0.56457275 0.5124495 ],0.8604393,0.13963538
There are 300 foods and their antioxidant content.,"['Antioxidant Content of 300 Foods', 'Antioxidant Content of 3,139 Foods', 'antioxidants']",[0.9245227  0.8540131  0.63829803],0.9245227,0.1702595
Milk benefits our bones.,"['Is Milk Good for Our Bones?', 'bone health', 'How Beans Help Our Bones']",[0.91318953 0.65945494 0.62766486],0.91318953,0.17849217
What is the best treatment for constipation?,"['Best Treatment for Constipation', 'laxatives', 'constipation']",[0.93837214 0.6830925  0.6755924 ],0.93837214,0.15383032
What is the condition of the soil in terms of its overall level of vitality and productivity?,"['soil health', 'nutrient density', 'Crop Nutrient Decline']",[0.7161099  0.49904335 0.46133745],0.7161099,0.09106997
What are carcinogens?,"['carcinogens', 'Carcinogens in Roasted Chicken?', 'Carcinogens in Roasted Coffee?']",[0.79959065 0.63270336 0.6269216 ],0.79959065,0.16079383
What is Fosamax?,"['Fosamax', 'folate', 'Flomax']",[0.8560129  0.4937378  0.45774317],0.8560129,0.13311176
Turmeric Curcumin is linked to Osteoarthritis.,"['Turmeric Curcumin and Osteoarthritis', 'Turmeric Curcumin and Rheumatoid Arthritis', 'Topical Application of Turmeric Curcumin for Cancer']",[0.9741191  0.8823495  0.68654364],0.9741191,0.15333213
What is your opinion on Dr. Jenkins perspective regarding paleolithic diets?,"[""What do you think of Dr. Jenkins' take on paleolithic diets?"", 'paleolithic diets', 'The Real Paleo Diet']",[0.97914445 0.6422198  0.566774  ],0.97914445,0.16555557
Chickpeas are the subject of the following query.,"['chickpeas', 'legumes', 'peas']",[0.76537514 0.52748847 0.52362686],0.76537514,0.13479659
The type of oil mentioned is flax oil.,"['flax oil', 'corn oil', 'vegetable oil']",[0.76675034 0.6938114  0.67293763],0.76675034,0.16885115
Citrus can potentially aid in maintaining warmth in your hands.,"['How Citrus Might Help Keep Your Hands Warm', 'Keeping Your Hands Warm With Citrus', 'Citrus to Reduce Muscle Fatigue']",[0.9229911  0.8968327  0.61628157],0.9229911,0.14623608
Ox meat is being discussed.,"['oxen meat', 'Modern Meat Not Ahead of the Game', 'meat']",[0.8668108  0.6026811  0.59200996],0.8668108,0.1501753
"Who provides superior advice, pharmacists or health food store employees?","['Pharmacists Versus Health Food Store Employees: Who Gives Better Advice?', 'Bad Advice From Health Food Store Employees', 'Health Food Store Advice: Often Worthless or Worst']",[0.94556296 0.70047396 0.67834604],0.94556296,0.12101526
Factory farming practices are being questioned.,"['factory farming practices', 'farm animals', 'farmers']",[0.8791112 0.5419725 0.541591 ],0.8791112,0.1024964
The National Academy of Sciences is a prestigious institution.,"['National Academy of Sciences', 'Center for Science in the Public Interest', 'Union of Concerned Scientists']",[0.82832915 0.537405   0.4849679 ],0.82832915,0.05335448
Fish can transmit toxins related to sexual activities.,"['Sexually Transmitted Fish Toxin', 'Fish Consumption and Suicide', 'How Long to Avoid Fish Before Conception?']",[0.8217994  0.5775546  0.56990325],0.8217994,0.11613708
Myelopathy is a condition affecting the spinal cord.,"['myelopathy', 'spinal cord health', 'neuropathy']",[0.7720212 0.6285856 0.5743369],0.7720212,0.06881065
The EPIC findings on Lymphoma have been discovered.,"['EPIC Findings on Lymphoma', 'lymphoma', 'non-Hodgkin lymphoma']",[0.94270396 0.7512517  0.6237594 ],0.94270396,0.081014246
Allergies can be caused by Alkylphenol Endocrine Disruptors.,"['Alkylphenol Endocrine Disruptors and Allergies', 'Alkylphenol Endocrine Disruptors and Allergies', 'Dietary Sources of Alkylphenol Endocrine Disruptors']",[0.9478774 0.9478774 0.6851257],0.9478774,0.10950044
Coffee is sought after.,"['coffee', 'Coffee Caveats', 'Update on Coffee']",[0.7275094 0.6831768 0.6774281],0.7275094,0.12906522
Childhood is the starting point for heart disease.,"['Heart Disease Starts in Childhood', 'Stopping Heart Disease in Childhood', 'Blocking the First Step of Heart Disease']",[0.89653724 0.7441757  0.6246153 ],0.89653724,0.12733312
Curcumin should be taken with caution by whom?,"['Who Should be Careful About Curcumin?', 'Who Shouldn’t Consume Curcumin or Turmeric?', 'curcumin']",[0.93607914 0.76372087 0.7527901 ],0.93607914,0.18473968
Can you provide information on mouth cancer?,"['mouth cancer', 'oral cancer', 'tongue cancer']",[0.7848474  0.78456426 0.7009876 ],0.7848474,0.15255283
Is there a connection between Titanium Dioxide and Inflammatory Bowel Disease?,"['Titanium Dioxide & Inflammatory Bowel Disease', 'Should We Avoid Titanium Dioxide?', 'titanium dioxide']",[0.950253   0.68347204 0.53966784],0.950253,0.15656224
Arriving at a Vitamin D recommendation is difficult.,"['The Difficulty of Arriving at a Vitamin D Recommendation', 'Vitamin D: Shedding some light on the new recommendations', 'How the Institute of Medicine Arrived at Their Vitamin D Recommendation']",[0.9419757  0.84867555 0.7979721 ],0.9419757,0.18179339
Goji berries are not as good as something else.,"['Better Than Goji Berries', 'Are Goji Berries Good for You?', 'goji berries']",[0.8636694 0.8205641 0.7624879],0.8636694,0.1502159
Airport scanners are devices that are used in airports for security purposes.,"['airport scanners', 'Mediating Radiation Exposure From Airline Travel', 'Dealing With Air Travel Radiation Exposure']",[0.88254213 0.3416482  0.32254887],0.88254213,-0.0084756855
A plant-based diet is what?,"['plant-based diet', 'plant-based diets', 'How Do Plant-Based Diets Fight Cancer?']",[0.8427418 0.8311604 0.6521978],0.8427418,0.19059841
What is IGF-1?,"['IGF-1', 'IGF-1 as One-Stop Cancer Shop', 'Protein Intake & IGF-1 Production']",[0.91183627 0.7139648  0.6691048 ],0.91183627,0.12574315
